reference,link,name,brand,image_url,store,screen_size,processor,ram,disk_capacity,gpu,os,gamer,price
X515KA-EJ008,https://agora.tn/fr/pc-portable/16616-pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 4GO 256GO SSD SILVER,,https://agora.tn/fr/46133-home_default/pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.jpg,agora,"15.6""",Intel Celeron-Dual Core,4 Go,256 Go SSD,Graphique Intégrée,FreeDos,Non,"719,000 TND"
X515KA-EJ008-8,https://agora.tn/fr/pc-portable/16664-pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 8GO 256GO SSD SILVER,,https://agora.tn/fr/46726-home_default/pc-portable-asus-x515ka-celeron-n4500u-8go-256go-ssd-silver.jpg,agora,"15.6""",Intel Celeron-Dual Core,8 Go,256 Go SSD,Graphique Intégrée,FreeDos,Non,"739,000 TND"
X1504VA-NJ520W,https://agora.tn/fr/pc-portable/15389-pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 4GO 256GO SSD SILVER,,https://agora.tn/fr/46316-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.jpg,agora,"15.6""",Intel Core i3,4 Go,256 Go SSD,Graphique Intégrée,Windows,Non,"1 049,000 TND"
INS-3535-R5,https://agora.tn/fr/pc-portable/16867-pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.html,PC PORTABLE DELL INSPIRON 3535 AMD RAYZEN 5 8GO 512GO SSD NOIRD,,https://agora.tn/fr/46775-home_default/pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.jpg,agora,"15.6""",AMD RYZEN 5,8 Go,512 Go SSD,AMD Radeon,FreeDos,Non,"1 169,000 TND"
X1504VA-NJ814W,https://agora.tn/fr/pc-portable/17170-pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 I3-1315U 8GO 512GO SSD SILVER,,https://agora.tn/fr/48086-home_default/pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.jpg,agora,"15.6""",Intel Core i3,8 Go,512 Go SSD,Graphique Intégrée,Windows 11,Non,"1 189,000 TND"
X1504VA-NJ518W,https://agora.tn/fr/pc-portable/16851-pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 8GO 512GO SSD BLEU,,https://agora.tn/fr/46686-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-8go-512go-ssd-bleu.jpg,agora,"15.6""",Intel Core i3,8 Go,512 Go SSD,Graphique Intégrée,Windows,Non,"1 189,000 TND"
N1612PVNB3530EMEA0,https://agora.tn/fr/pc-portable/15203-pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.html,PC PORTABLE DELL VOSTRO 3530 I3-1305U  8GO 512GO SSD NOIR,,https://agora.tn/fr/42659-home_default/pc-portable-dell-vostro-3530-i3-1305u-8go-512go-ssd-noir.jpg,agora,"15.6""",Intel Core i3,8 Go,512 Go SSD,Graphique Intégrée,Windows,Non,"1 199,000 TND"
82VG00NXFG,https://agora.tn/fr/pc-portable/17267-pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.html,PC PORTABLE LENOVO IDEAPAD 115AMN7 AMD RZN 5 16GO 512GO SSD,,https://agora.tn/fr/48302-home_default/pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.jpg,agora,"15.6""",AMD RYZEN 5,16 Go,512 Go SSD,Graphique Intégrée,Windows 11,Non,"1 319,000 TND"
845B6EA,https://agora.tn/fr/pc-portable/16861-pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.html,PC PORTABLE HP 15-FC0003NK RYZEN 5 7520U 8 Go 512 GO SSD ARGENT,,https://agora.tn/fr/46711-home_default/pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.jpg,agora,"15.6""",AMD RYZEN 5,8 Go,512 Go SSD,AMD Radeon,Windows,Non,"1 519,000 TND"
82R400XKFG,https://agora.tn/fr/pc-portable/17050-pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.html,"PC PORTABLE LENOVO IDEAPAD1 R7-5700U 8GO 512GO SSD 15.6""",,https://agora.tn/fr/47555-home_default/pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.jpg,agora,"15.6""",AMD RYZEN 7,8 Go,512 Go SSD,AMD Radeon,Windows,Non,"1 549,000 TND"
X1502VA-NJ561W,https://agora.tn/fr/pc-portable/17173-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA i5-13420H 8GO 512GO SSD BLEU,,https://agora.tn/fr/48053-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.jpg,agora,"15.6""",Intel Core i5,8 Go,512 Go SSD,Intel UHD Intégrée,Windows 11,Non,"1 599,000 TND"
X1502VA-NJ722W,https://agora.tn/fr/pc-portable/17168-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13420H 8GO 512GO SSD SILVER,,https://agora.tn/fr/48078-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.jpg,agora,"15.6""",Intel Core i5,8 Go,512 Go SSD,Graphique Intégrée,windows 11 famille,Non,"1 599,000 TND"
81W1017JFE,https://agora.tn/fr/pc-portable/11080-pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.html,PC PORTABLE LENOVO IDEAPAD 3 ADM RYZEN 7 8GO 512GO SILVER,,https://agora.tn/fr/37893-home_default/pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.jpg,agora,"15.6""",AMD RYZEN 7,4 Go,512 Go SSD,AMD Radeon,Windows,Non,"1 599,000 TND"
A2AP8EA,https://agora.tn/fr/pc-portable/15899-pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.html,PC PORTABLE HP 15-FD0097NK I5-1334U 8GO 512GO SSD NOIR,,https://agora.tn/fr/44632-home_default/pc-portable-hp-15-fd0097nk-i5-1334u-8go-512go-ssd-noir.jpg,agora,"15.6""",Intel Core i5,8 Go,512 Go SSD,Graphique Intégrée,FreeDos,Non,"1 639,000 TND"
X1502VA-NJ147W,https://agora.tn/fr/pc-portable/15310-pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13500H 8GO 512GO SSD BLEU,,https://agora.tn/fr/44475-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.jpg,agora,"15.6""",Intel Core i5,8 Go,512 Go SSD,Graphique Intégrée,Windows,Non,"1 649,000 TND"
