reference,link,name,brand,image_url,store,screen_size,processor,ram,SSD,HDD,gpu,os,gamer,price
X515KA-EJ008,https://agora.tn/fr/pc-portable/16616-pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.html,PC PORTABLE ASUS X515KA CELERON N4500U 4GO 256GO SSD SILVER,Asus,https://agora.tn/fr/46133-home_default/pc-portable-asus-x515ka-celeron-n4500u-4go-256go-ssd-silver.jpg,agora,15.6,Intel Celeron,4,256,0,Integrated Graphics,FreeDos,0,719.0
X1504VA-NJ520W,https://agora.tn/fr/pc-portable/15389-pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1504VA I3-1315U 4GO 256GO SSD SILVER,Asus,https://agora.tn/fr/43259-home_default/pc-portable-asus-vivobook-15-x1504va-i3-1315u-4go-256go-ssd-silver.jpg,agora,15.6,Intel Core i3,4,256,0,Integrated Graphics,Windows,0,1049.0
INS-3535-R5,https://agora.tn/fr/pc-portable/16867-pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.html,PC PORTABLE DELL INSPIRON 3535 AMD RAYZEN 5 8GO 512GO SSD NOIRD,Dell,https://agora.tn/fr/46775-home_default/pc-portable-dell-inspiron-3535-amd-rayzen-5-8go-512go-ssd-noird.jpg,agora,15.6,AMD Ryzen 5,8,512,0,AMD,FreeDos,0,1169.0
X1504VA-NJ814W,https://agora.tn/fr/pc-portable/17170-pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 I3-1315U 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/48086-home_default/pc-portable-asus-vivobook-15-i3-1315u-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i3,8,512,0,Integrated Graphics,Windows,0,1189.0
82VG00NXFG,https://agora.tn/fr/pc-portable/17267-pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.html,PC PORTABLE LENOVO IDEAPAD 115AMN7 AMD RZN 5 16GO 512GO SSD,Lenovo,https://agora.tn/fr/48300-home_default/pc-portable-lenovo-ideapad-115amn7-amd-rzn-5-16go-512go-ssd.jpg,agora,15.6,AMD Ryzen 5,16,512,0,Integrated Graphics,Windows,0,1319.0
845B6EA,https://agora.tn/fr/pc-portable/16861-pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.html,PC PORTABLE HP 15-FC0003NK RYZEN 5 7520U 8 Go 512 GO SSD ARGENT,Hp,https://agora.tn/fr/46711-home_default/pc-portable-hp-15-fc0003nk-ryzen-5-7520u-8-go-512-go-ssd-argent.jpg,agora,15.6,AMD Ryzen 5,8,512,0,AMD,Windows,0,1519.0
82R400XKFG,https://agora.tn/fr/pc-portable/17050-pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.html,"PC PORTABLE LENOVO IDEAPAD1 R7-5700U 8GO 512GO SSD 15.6""",Lenovo,https://agora.tn/fr/47484-home_default/pc-portable-lenovo-ideapad1-r7-5700u-8go-512go-ssd-156.jpg,agora,15.6,AMD Ryzen 7,8,512,0,AMD,Windows,0,1549.0
X1502VA-NJ561W,https://agora.tn/fr/pc-portable/17173-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA i5-13420H 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/48053-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i5,8,512,0,Intel,Windows,0,1569.0
X1502VA-NJ722W,https://agora.tn/fr/pc-portable/17168-pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13420H 8GO 512GO SSD SILVER,Asus,https://agora.tn/fr/48482-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13420h-8go-512go-ssd-silver.jpg,agora,15.6,Intel Core i5,8,512,0,Integrated Graphics,Windows,0,1569.0
X1502VA-NJ147W,https://agora.tn/fr/pc-portable/15310-pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.html,PC PORTABLE ASUS VIVOBOOK 15 X1502VA I5-13500H 8GO 512GO SSD BLEU,Asus,https://agora.tn/fr/48478-home_default/pc-portable-asus-vivobook-15-x1502va-i5-13500h-8go-512go-ssd-bleu.jpg,agora,15.6,Intel Core i5,8,512,0,Integrated Graphics,Windows,0,1599.0
81W1017JFE,https://agora.tn/fr/pc-portable/11080-pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.html,PC PORTABLE LENOVO IDEAPAD 3 ADM RYZEN 7 8GO 512GO SILVER,Lenovo,https://agora.tn/fr/37893-home_default/pc-portable-lenovo-ideapad-3-adm-ryzen-7-8go-512go-silver.jpg,agora,15.6,AMD Ryzen 7,4,512,0,AMD,Windows,0,1599.0
INS-3535-R7,https://agora.tn/fr/pc-portable/16868-pc-portable-dell-inspiron-3535-16go-1to-ssd.html,PC PORTABLE DELL INSPIRON 3535 16Go 1To SSD,Dell,https://agora.tn/fr/46782-home_default/pc-portable-dell-inspiron-3535-16go-1to-ssd.jpg,agora,15.6,AMD Ryzen 7,16,1024,0,AMD,FreeDos,0,1779.0
