Référence,lien,nom,Marque,image_url,boutique,Taille de l'écran,Résolution écran,Processeur,Référence processeur,Mémoire,Disque dur,Type de disque dur,Carte graphique,Système d'exploitation,Gamer,prix
X515KA-EJ008,https://batam.com.tn/asus-celeron-4-256-silver-43007318.html,PC Portable  ASUS Intel Celeron N4500 4Go 256Go SSD - Silver  + Souris + Sacoche Gratuites,ASUS,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007318_1.jpg,Batam,"15,6''",1920 x 1080,Intel Celeron,Intel® Celeron® N4500,4 Go,256GO,SSD,Graphique Intégrée,FreeDos,Non,"629,000 DT"
82QY00PEFE,https://batam.com.tn/pc-lenovo-n4500-8gb-256-ssd-43007899.html,PC Portable LENOVO V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD - Noir,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007899.jpg,Batam,"15,6''",1920 x 1080,Intel Celeron,Intel® Celeron® N4500,8 Go,256GO,SSD,Graphique Intégrée,FreeDos,Non,"729,000 DT"
82LX00CKFG,https://batam.com.tn/pc-lenovon-celeron-8-256blue-43007304.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Bleu,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007304.jpg,Batam,"15,6''",1366 x 768,Intel Celeron,Intel® Celeron® N4500,8 Go,256GO,SSD,Graphique Intégrée,FreeDos,Non,"729,000 DT"
82LX00CFFG,https://batam.com.tn/pc-lenovon-celeron-8-256bgrey-43007305.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Gris,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43007305.jpg,Batam,"15,6''",1366 x 768,Intel Celeron,Intel® Celeron® N4500,8 Go,256GO,SSD,Graphique Intégrée,FreeDos,Non,"729,000 DT"
82LX00CEFG,https://batam.com.tn/pc-lenovo-celeron-8-256-w11-43008035.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Gris,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008035.jpg,Batam,"15,6''",1366 x 768,Intel Celeron,Intel® Celeron® N4500,8 Go,256GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"735,000 DT"
A30XQEA,https://batam.com.tn/hp-celeron-4go-256ssd-black-43008037.html,PC Portable HP 15-fd0298nk Intel N100 4G 256Go SSD - Noir,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008037.jpg,Batam,"15,6''",1366 x 768,Intel Celeron,Intel® N100,4 Go,256GO,SSD,Graphique Intégrée,FreeDos,Non,"789,000 DT"
82VG00NYFG,https://batam.com.tn/ip1-amd-athlon8g-2566-w11gr-sa-43006666.html,PC Portable LENOVO IdeaPad 1 15AMN7 AMD Athlon 8Go 256Go SSD - Gris+ Sacoche LENOVO T210,LENOVO,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006666_4.jpg,Batam,"15,6''",1366 x 768,AMD Athlon,AMD Athlon Silver 7120U,8 Go,256GO,SSD,AMD Radeon,Windows 11 Famille,Non,"799,000 DT"
15-fd0029nk,https://batam.com.tn/hp-celeron-4gb-256-w11-blue-43008038.html,PC Portable HP 15-fd0029nk Intel N100 4Go 256Go SSD - Silver & Bleu,HP,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43008038.jpg,Batam,"15,6''",1920 x 1080,Intel Celeron,Intel® N100,4Go,256GO,SSD,Graphique Intégrée,Windows 11 Famille,Non,"819,000 DT"
V3530I3,https://batam.com.tn/dell-vostro-3530-i3-8-256-w11-43006996.html,Pc Portable DELL Vostro 3530 i3 13ème Gén 8Go 256Go SSD  Noir,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43006996.jpg,Batam,"15,6''",,Intel Core i3,"Intel Core i3-1305U ( Jusqu'à 4.50 GHz,10 Mo de mémoire cache)",8 Go,256GO,SSD,,Windows 11,Non,"1 069,000 DT"
V3520-I3-512SSD,https://batam.com.tn/dellvostro3520-i3-1215u-8-512g-43005854.html,Pc Portable DELL Vostro 3520 i3 12è Gén 8Go 512Go SSD - Noir,DELL,https://batam.com.tn/media/catalog/product/cache/26742a42496e58e10979d74ecdf1cb51/4/3/43005854_2.jpg,Batam,"15,6''",1920 x 1080,Intel Core i3,Intel® Core™ i3-1215U,8 Go,512GO,SSD,Graphique Intégrée,FreeDos,Non,"1 079,000 DT"
