id,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution d'écrans,Processeur,Référence Processeur,Mémoire,Disque Dur,Type Disque Dur,Carte Graphique,Système d'exploitation,Gamer,prix
82LX00CKFG,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Bleu,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-bleu-40.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"709,000 DT"
82LX00CFFG,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD - Gris,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8go-256go-ssd-gris_1.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"709,000 DT"
A30XQEA,https://www.mytek.tn/pc-portable-hp-15-fd0298nk-intel-n100-4go-256go-ssd-noir.html,PC Portable HP 15-fd0298nk Intel N100 4Go 256Go SSD - Noir,15-fd0298nk,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-hp-15-fd0298nk-intel-n100-4go-256go-ssd-noir-h.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® N100,4 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"719,000 DT"
X515KA-EJ008,https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256go-ssd-silver.html,PC Portable ASUS X515KA Intel Celeron N4500 4Go 256Go SSD - Silver,X515KA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-4go-256go-ssd-silver-40.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Celeron,Intel® Celeron® N4500,4 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"719,000 DT"
BU-82LX00CKFG-SAC,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-bleu.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256G SSD - Bleu,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256g-ssd-bleu-301.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"719,000 DT"
82LX00CEFG,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Gris,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-gris_1.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"735,000 DT"
82LX00CDFG,https://www.mytek.tn/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-bleu.html,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8G 256Go SSD - Bleu,IDEAPAD 1,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-lenovo-ideapad-1-15ijl7-intel-celeron-n4500-8g-256go-ssd-bleu-37.jpg,Mytek,15.6 Pouces,1366 x 768 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,Windows 11 Famille,Non,"735,000 DT"
X515KA-EJ008-8G,https://www.mytek.tn/pc-portable-asus-x515ka-intel-celeron-n4500-8go-256go-ssd-silver.html,PC Portable ASUS X515KA Intel Celeron N4500 8Go 256Go SSD - Silver,X515KA,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-asus-x515ka-intel-celeron-n4500-8go-256go-ssd-silver-40.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel Celeron,Intel® Celeron® N4500,8 Go,256 Go SSD,SSD,Graphique Intégrée,FreeDos,Non,"739,000 DT"
MAXBOOK-X15PRO,https://www.mytek.tn/pc-portable-bmax-maxbook-x15-pro-intel-n95-12e-gen-16go-512go-ssd.html,PC Portable BMAX MaxBook X15 Pro Intel N95 12è Gén 16Go 512Go SSD,MaxBook X15 Pro,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-bmax-maxbook-x15-pro-intel-n95-12e-gen-16go-512go-ssd.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel N95,Intel® N95 de 12è Génération,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"739,000 DT"
BU-MAXBOOK-X15PRO,https://www.mytek.tn/pc-portable-bmax-maxbook-x15-pro-intel-n95-12e-gen-16g-512go-ssd.html,PC Portable BMAX MaxBook X15 Pro Intel N95 12è Gén 16G 512Go SSD,MaxBook X15 Pro,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-bmax-maxbook-x15-pro-intel-n95-12e-gen-16g-512go-ssd.jpg,Mytek,15.6 Pouces,1920 x 1080 pixels,Intel N95,Intel® N95 de 12è Génération,16 Go,512Go SSD,SSD,Graphique Intégrée,Windows 11 Pro,Non,"739,000 DT"
