reference,lien,nom,Gamme PC,image_url,boutique,Taille de l'écran,Résolution écran,Type de Processeur,processeur,Mémoire,Disque Dur,Type Disque Dur,Réf Carte Graphique,Système d'exploitation,Gamer,prix
CK-550-GKTM1,https://spacenet.tn/clavier-gamer/57300-clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.html,Clavier Gamer Mécanique Cooler Master CK550 V2 Brown Switches - Noir,,https://spacenet.tn/144096-home_default/clavier-gamer-mecanique-cooler-master-ck550-v2-brown-switches-noir.jpg,SpaceNet,,,,,,,,,,Oui,"149,000 DT"
82LX00CFFG,https://spacenet.tn/pc-portable-tunisie/81195-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243251-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82LX00CKFG,https://spacenet.tn/pc-portable-tunisie/81186-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD,IdeaPad 1,https://spacenet.tn/243240-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel® Celeron® N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"709,000 DT"
82QY00PEFE,https://spacenet.tn/pc-portable-tunisie/78603-pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.html,Pc Portable Lenovo V15 G2 IJL Intel Celeron N4500 8Go 256Go SSD,V15 G2 IJL,https://spacenet.tn/229972-home_default/pc-portable-lenovo-v15-g2-ijl-intel-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"ntel Celeron N4500 (Up to 2.8 Ghz , 4 Mo de mémoire cache , 2 Coeurs)",8 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
A30XQEA,https://spacenet.tn/pc-portable-tunisie/79478-pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.html,PC Portable HP 15-fd0298nk Intel Celeron N100 4Go 256Go SSD,15-fd0298nk,https://spacenet.tn/235037-home_default/pc-portable-hp-15-fd0298nk-intel-celeron-n100-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N100 (up to 3.4 GHz with Intel® Turbo Boost Technology, 6 Mo de mémoire cache, 4 cores, 4 threads)",4 Go,256 Go SSD,,Intel UHD,Free Dos,Non,"719,000 DT"
X515KA-EJ008,https://spacenet.tn/pc-portable-asus/80288-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 4Go 256Go SSD,X515ka,https://spacenet.tn/239242-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",4 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"719,000 DT"
82LX00CDFG,https://spacenet.tn/pc-portable-tunisie/81565-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245188-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
82LX00CEFG,https://spacenet.tn/pc-portable-tunisie/81561-pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.html,Pc Portable Lenovo IdeaPad 1 15IJL7 Intel Celeron N4500 8Go 256Go SSD Windows 11,IdeaPad 1,https://spacenet.tn/245200-home_default/pc-portable-lenovo-ideapad-1-15igl7-intel-celeron-n4500-8go-256go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up to 2,8 GHz Turbo max, 4 Mo de mémoire cache, 2 Cores)",8 Go,256 Go SSD,,Intel UHD,Windows 11,Non,"735,000 DT"
MAXBOOK-X15PRO,https://spacenet.tn/pc-portable-tunisie/89688-pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.html,Pc Portable Bmax MaxBook X15 Pro Intel N95 12Gén 16Go 512Go SSD Windows 11,MaxBook X15 Pro,https://spacenet.tn/291458-home_default/pc-portable-bmax-maxbook-x15-pro-intel-n95-12gen-16go-512go-ssd-windows-11.jpg,SpaceNet,15.6 Pouces,,Intel N95,"Intel N95(3.40 GHz ,6 Mo Intel Smart Cache, 4 Cores)",16 Go,512 Go SSD,SSD,Intel UHD,Windows 11,Non,"739,000 DT"
X515KA-EJ008-8,https://spacenet.tn/pc-portable-asus/80988-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.html,Pc Portable Asus VivoBook 15 X515ka Celeron N4500 8Go 256Go SSD,X515ka,https://spacenet.tn/242229-home_default/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-8go-256go-ssd.jpg,SpaceNet,15.6 Pouces,,Intel Celeron,"Intel Celeron N4500 (Up To 2,8 Ghz, 4 Mo De Mémoire Cache, 2 Cores)",8 Go,256 Go SSD,SSD,Intel UHD,Free Dos,Non,"739,000 DT"
