id,lien,nom,Marque,image_url,boutique,Taille Ecran,Type Ecran,Processeur,Réf processeur,Mémoire,Disque Dur,Type de disque dur,Carte Graphique,Système d'exploitation,Gamer,prix
82LX00EAFE-4-SAC,https://www.tunisianet.com.tn/pc-portable-tunisie/86145-pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-4-go-256-go-ssd-windows-11-gris.html,Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 4 Go / 256 Go SSD / Windows 11 / Gris,,https://www.tunisianet.com.tn/430103-home/pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-4-go-256-go-ssd-windows-11-gris.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",4 Go,256 Go SSD,,Graphique Intégrée,Windows 11,,"689,000 DT"
82LX00CFFG,https://www.tunisianet.com.tn/pc-portable-tunisie/81139-pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-gris.html,Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris,,https://www.tunisianet.com.tn/403274-home/pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-gris.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"709,000 DT"
82LX00CKFG,https://www.tunisianet.com.tn/pc-portable-tunisie/81140-pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-bleu.html,Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu,,https://www.tunisianet.com.tn/428260-home/pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-bleu.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"709,000 DT"
A30XQEA,https://www.tunisianet.com.tn/pc-portable-tunisie/78725-pc-portable-hp-15-fd0298nk-n100-4-go-256-go-ssd-noir.html,Pc Portable HP 15-fd0298nk / N100 / 4 Go / 256 Go SSD / Noir,,https://www.tunisianet.com.tn/391207-home/pc-portable-hp-15-fd0298nk-n100-4-go-256-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron N100 (jusqu’à 3,4 GHz, 6 Mo de mémoire cache )",4 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"719,000 DT"
82LX00CFFG-SAC,https://www.tunisianet.com.tn/pc-portable-tunisie/81232-pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-gris-avec-sacoche-offert.html,Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris Avec SACOCHE Offert,,https://www.tunisianet.com.tn/404184-home/pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-gris-avec-sacoche-offert.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"719,000 DT"
X515KA-EJ008,https://www.tunisianet.com.tn/pc-portable-tunisie/79751-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4-go-256-go-ssd-silver.html,Pc Portable ASUS Vivobook 15 X515KA / Celeron N4500 / 4 Go / 256 Go SSD / Silver,,https://www.tunisianet.com.tn/396840-home/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4-go-256-go-ssd-silver.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",4 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"719,000 DT"
82LX00CKFG-SAC,https://www.tunisianet.com.tn/pc-portable-tunisie/81235-pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-bleu-avec-sacoche-offert.html,Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu Avec SACOCHE Offert,,https://www.tunisianet.com.tn/404194-home/pc-portable-lenovo-ideapad-1-15ijl7-celeron-n4500-8-go-256-go-ssd-bleu-avec-sacoche-offert.jpg,tunisianet,"14"" - 15.6""",HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"719,000 DT"
82QY00PEFE,https://www.tunisianet.com.tn/pc-portable-tunisie/78271-pc-portable-lenovo-v15-g2-ijl-n4500-8-go-256-go-ssd-noir.html,Pc Portable Lenovo V15 G2 IJL / N4500 / 8 Go / 256 Go SSD / Noir,,https://www.tunisianet.com.tn/387482-home/pc-portable-lenovo-v15-g2-ijl-n4500-8-go-256-go-ssd-noir.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"719,000 DT"
X515KA-EJ008-SAC,https://www.tunisianet.com.tn/pc-portable-tunisie/79802-pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4-go-256-go-ssd-silver-avec-sacoche-offerte.html,Pc Portable ASUS Vivobook 15 X515KA / Celeron N4500 / 4 Go / 256 Go SSD / Silver Avec Sacoche Offerte,,https://www.tunisianet.com.tn/397187-home/pc-portable-asus-vivobook-15-x515ka-celeron-n4500-4-go-256-go-ssd-silver-avec-sacoche-offerte.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",4 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"729,000 DT"
82QY00PEFE-SAC,https://www.tunisianet.com.tn/pc-portable-tunisie/79841-pc-portable-lenovo-v15-g2-ijl-n4500-8-go-256-go-ssd-noir-avec-sacoche-offerte.html,Pc Portable Lenovo V15 G2 IJL / N4500 / 8 Go / 256 Go SSD / Noir Avec Sacoche Offerte,,https://www.tunisianet.com.tn/397413-home/pc-portable-lenovo-v15-g2-ijl-n4500-8-go-256-go-ssd-noir-avec-sacoche-offerte.jpg,tunisianet,"14"" - 15.6""",Full HD,Intel Celeron,"Intel Celeron Dual Core N4500, 1.10 Ghz up to 2.8 Ghz , 4 Mo de mémoire cache",8 Go,256 Go SSD,,Graphique Intégrée,FreeDos,,"729,000 DT"
